id,resto,asukoht,keskmine,hinnatud
1,Matsoft,Sweden,6.99,137
2,Regrant,China,7.64,118
3,Lotlux,Ukraine,5.49,65
4,Sonsing,Portugal,4.82,39
5,Lotstring,China,4.14,36
6,Namfix,Sweden,4.4,99
7,Rank,Ukraine,5.32,171
8,Sonsing,Portugal,3.16,87
9,Redhold,Netherlands,6.16,159
10,Fix San,Russia,8.74,123
11,Transcof,Brazil,4.64,8
12,Duobam,Indonesia,7.96,20
13,Domainer,Brazil,5.25,56
14,Overhold,Moldova,9.34,173
15,Bigtax,Peru,5.76,144
16,Latlux,United States,9.79,27
17,Zathin,Sweden,8.55,100
18,Sub-Ex,China,7.74,196
19,Keylex,Portugal,2.68,150
20,Zoolab,Indonesia,7.06,122
